pai_date,pai_datetime_beginning_utc,pai_datetime_beginning_ept,pai_datetime_ending_utc,pai_datetime_ending_ept,pai_area,final_bal_ratio
12/24/2022 12:00:00 AM,12/24/2022 11:30:00 AM,12/24/2022 6:30:00 AM,12/24/2022 11:35:00 AM,12/24/2022 6:35:00 AM,RTO,81.01
12/24/2022 12:00:00 AM,12/24/2022 11:35:00 AM,12/24/2022 6:35:00 AM,12/24/2022 11:40:00 AM,12/24/2022 6:40:00 AM,RTO,81.01
12/24/2022 12:00:00 AM,12/24/2022 11:40:00 AM,12/24/2022 6:40:00 AM,12/24/2022 11:45:00 AM,12/24/2022 6:45:00 AM,RTO,81.03
12/24/2022 12:00:00 AM,12/24/2022 11:45:00 AM,12/24/2022 6:45:00 AM,12/24/2022 11:50:00 AM,12/24/2022 6:50:00 AM,RTO,81.40
12/24/2022 12:00:00 AM,12/24/2022 11:50:00 AM,12/24/2022 6:50:00 AM,12/24/2022 11:55:00 AM,12/24/2022 6:55:00 AM,RTO,81.34
12/24/2022 12:00:00 AM,12/24/2022 11:55:00 AM,12/24/2022 6:55:00 AM,12/24/2022 12:00:00 PM,12/24/2022 7:00:00 AM,RTO,81.16
12/24/2022 12:00:00 AM,12/24/2022 12:00:00 PM,12/24/2022 7:00:00 AM,12/24/2022 12:05:00 PM,12/24/2022 7:05:00 AM,RTO,81.65
12/24/2022 12:00:00 AM,12/24/2022 12:05:00 PM,12/24/2022 7:05:00 AM,12/24/2022 12:10:00 PM,12/24/2022 7:10:00 AM,RTO,81.82
12/24/2022 12:00:00 AM,12/24/2022 12:10:00 PM,12/24/2022 7:10:00 AM,12/24/2022 12:15:00 PM,12/24/2022 7:15:00 AM,RTO,81.80
12/24/2022 12:00:00 AM,12/24/2022 12:15:00 PM,12/24/2022 7:15:00 AM,12/24/2022 12:20:00 PM,12/24/2022 7:20:00 AM,RTO,82.06
12/24/2022 12:00:00 AM,12/24/2022 12:20:00 PM,12/24/2022 7:20:00 AM,12/24/2022 12:25:00 PM,12/24/2022 7:25:00 AM,RTO,82.10
12/24/2022 12:00:00 AM,12/24/2022 12:25:00 PM,12/24/2022 7:25:00 AM,12/24/2022 12:30:00 PM,12/24/2022 7:30:00 AM,RTO,82.15
12/24/2022 12:00:00 AM,12/24/2022 12:30:00 PM,12/24/2022 7:30:00 AM,12/24/2022 12:35:00 PM,12/24/2022 7:35:00 AM,RTO,82.25
12/24/2022 12:00:00 AM,12/24/2022 12:35:00 PM,12/24/2022 7:35:00 AM,12/24/2022 12:40:00 PM,12/24/2022 7:40:00 AM,RTO,82.74
12/24/2022 12:00:00 AM,12/24/2022 12:40:00 PM,12/24/2022 7:40:00 AM,12/24/2022 12:45:00 PM,12/24/2022 7:45:00 AM,RTO,82.58
12/24/2022 12:00:00 AM,12/24/2022 12:45:00 PM,12/24/2022 7:45:00 AM,12/24/2022 12:50:00 PM,12/24/2022 7:50:00 AM,RTO,83.20
12/24/2022 12:00:00 AM,12/24/2022 12:50:00 PM,12/24/2022 7:50:00 AM,12/24/2022 12:55:00 PM,12/24/2022 7:55:00 AM,RTO,83.22
12/24/2022 12:00:00 AM,12/24/2022 12:55:00 PM,12/24/2022 7:55:00 AM,12/24/2022 1:00:00 PM,12/24/2022 8:00:00 AM,RTO,83.35
12/24/2022 12:00:00 AM,12/24/2022 1:00:00 PM,12/24/2022 8:00:00 AM,12/24/2022 1:05:00 PM,12/24/2022 8:05:00 AM,RTO,82.65
12/24/2022 12:00:00 AM,12/24/2022 1:05:00 PM,12/24/2022 8:05:00 AM,12/24/2022 1:10:00 PM,12/24/2022 8:10:00 AM,RTO,82.46
12/24/2022 12:00:00 AM,12/24/2022 1:10:00 PM,12/24/2022 8:10:00 AM,12/24/2022 1:15:00 PM,12/24/2022 8:15:00 AM,RTO,82.52
12/24/2022 12:00:00 AM,12/24/2022 1:15:00 PM,12/24/2022 8:15:00 AM,12/24/2022 1:20:00 PM,12/24/2022 8:20:00 AM,RTO,82.60
12/24/2022 12:00:00 AM,12/24/2022 1:20:00 PM,12/24/2022 8:20:00 AM,12/24/2022 1:25:00 PM,12/24/2022 8:25:00 AM,RTO,82.89
12/24/2022 12:00:00 AM,12/24/2022 1:25:00 PM,12/24/2022 8:25:00 AM,12/24/2022 1:30:00 PM,12/24/2022 8:30:00 AM,RTO,83.23
12/24/2022 12:00:00 AM,12/24/2022 1:30:00 PM,12/24/2022 8:30:00 AM,12/24/2022 1:35:00 PM,12/24/2022 8:35:00 AM,RTO,83.44
12/24/2022 12:00:00 AM,12/24/2022 1:35:00 PM,12/24/2022 8:35:00 AM,12/24/2022 1:40:00 PM,12/24/2022 8:40:00 AM,RTO,83.56
